04-10-2026 18:13:12 RAM 4147/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [18%@1984,50%@1984,11%@1984,25%@1984,0%@729,20%@729,0%@729,10%@729] GR3D_FREQ 0% cv0@37.718C cpu@42.187C soc2@36.25C soc0@39.156C cv1@38.312C gpu@40.406C tj@42.062C soc1@37.343C cv2@33.875C VDD_IN 4999mW/5743mW VDD_CPU_GPU_CV 764mW/1402mW VDD_SOC 1449mW/1469mW
04-10-2026 18:13:13 RAM 4147/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,8%@729,9%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@41.937C soc2@36.25C soc0@39.187C cv1@38.406C gpu@40.656C tj@41.937C soc1@37.437C cv2@33.906C VDD_IN 4959mW/5727mW VDD_CPU_GPU_CV 724mW/1388mW VDD_SOC 1449mW/1468mW
04-10-2026 18:13:13 RAM 4147/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [10%@1984,9%@1984,0%@1984,30%@1984,0%@729,0%@729,8%@729,30%@729] GR3D_FREQ 0% cv0@37.781C cpu@42C soc2@36.25C soc0@39.156C cv1@38.375C gpu@40.562C tj@42.25C soc1@37.25C cv2@33.812C VDD_IN 5040mW/5714mW VDD_CPU_GPU_CV 764mW/1375mW VDD_SOC 1449mW/1468mW
04-10-2026 18:13:13 RAM 4147/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,8%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@41.812C soc2@36.218C soc0@39.125C cv1@38.343C gpu@40.5C tj@41.812C soc1@37.312C cv2@33.875C VDD_IN 4959mW/5699mW VDD_CPU_GPU_CV 724mW/1363mW VDD_SOC 1449mW/1467mW
04-10-2026 18:13:13 RAM 4147/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,9%@729] GR3D_FREQ 0% cv0@37.718C cpu@41.937C soc2@36.25C soc0@39.281C cv1@38.375C gpu@40.468C tj@41.937C soc1@37.406C cv2@33.812C VDD_IN 4919mW/5684mW VDD_CPU_GPU_CV 684mW/1350mW VDD_SOC 1449mW/1467mW
04-10-2026 18:13:13 RAM 4147/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [16%@729,0%@729,0%@729,9%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.75C cpu@42C soc2@36.312C soc0@39.156C cv1@38.343C gpu@40.375C tj@42C soc1@37.218C cv2@33.843C VDD_IN 4878mW/5669mW VDD_CPU_GPU_CV 684mW/1337mW VDD_SOC 1449mW/1467mW
04-10-2026 18:13:13 RAM 4147/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@729,0%@729,9%@729,0%@729,0%@729,8%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.625C cpu@42.062C soc2@36.25C soc0@39.187C cv1@38.375C gpu@40.718C tj@42.062C soc1@37.343C cv2@33.968C VDD_IN 4838mW/5653mW VDD_CPU_GPU_CV 644mW/1324mW VDD_SOC 1449mW/1466mW
04-10-2026 18:13:13 RAM 4147/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.687C cpu@41.812C soc2@36.25C soc0@39.281C cv1@38.343C gpu@40.687C tj@41.812C soc1@37.437C cv2@33.781C VDD_IN 4798mW/5638mW VDD_CPU_GPU_CV 644mW/1312mW VDD_SOC 1408mW/1465mW
04-10-2026 18:13:13 RAM 4147/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [8%@729,0%@1984,9%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.718C cpu@41.906C soc2@36.343C soc0@39.125C cv1@38.375C gpu@40.593C tj@41.906C soc1@37.281C cv2@33.75C VDD_IN 4798mW/5623mW VDD_CPU_GPU_CV 603mW/1299mW VDD_SOC 1408mW/1464mW
04-10-2026 18:13:13 RAM 4147/15655MB (lfb 18x4MB) SWAP 0/7828MB (cached 0MB) CPU [0%@1984,0%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cv0@37.656C cpu@41.75C soc2@36.187C soc0@39.093C cv1@38.312C gpu@40.375C tj@41.75C soc1@37.343C cv2@33.875C VDD_IN 4798mW/5608mW VDD_CPU_GPU_CV 603mW/1287mW VDD_SOC 1408mW/1463mW
